experiment,n,seed,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E1,50,9,cold_cc_dca,GREEN,58,1,32,17.0,-2.499999999265631,5.4198450110091965e-05,0.0063503129999840004,1,7.343743391174939e-10,1.1102230246251561e-15,6.0543325548241095e-15,5.5511151231257795e-15,-2.664535259100375e-15
E1,50,9,persistent_cc_dca,GREEN,58,1,29,17.0,-2.499999999265631,5.4198450110091965e-05,0.005772143999820001,1,7.343743391174939e-10,1.1102230246251561e-15,6.0543325548241095e-15,5.5511151231257795e-15,-2.664535259100375e-15
E1,50,10,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.956093551749517e-11,0.001022407999926,0,1.000000000000002,4.440892098500626e-16,3.350912852802535e-15,2.2204460492503143e-15,1.77635683940025e-15
E1,50,10,post_dca,GREEN_POST,67,1,52,39.0,-2.5,9.013194941724975e-11,0.013449702999878,1,2.220446049250313e-15,4.440892098500626e-16,3.350912852802535e-15,2.2204460492503143e-15,1.77635683940025e-15
E1,50,10,cold_cc_dca,GREEN,69,1,34,17.0,-2.499999998970653,6.416686655624959e-05,0.006590546000097001,1,1.029349050440942e-09,4.440892098500626e-16,3.350912852802535e-15,2.2204460492503143e-15,1.77635683940025e-15
E1,50,10,persistent_cc_dca,GREEN,69,1,29,17.0,-2.499999998970653,6.416686655624959e-05,0.0063771340001030005,1,1.029349050440942e-09,4.440892098500626e-16,3.350912852802535e-15,2.2204460492503143e-15,1.77635683940025e-15
E1,50,11,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.959918725187319e-11,0.001025043000026,0,0.9999999999999991,0.0,7.464257706010911e-15,1.1102230246251561e-15,8.881784197001252e-16
E1,50,11,post_dca,GREEN_POST,67,1,52,39.0,-2.500000000000001,9.013285178019513e-11,0.013714282000137001,1,-1.77635683940025e-15,0.0,7.464257706010911e-15,1.1102230246251561e-15,8.881784197001252e-16
E1,50,11,cold_cc_dca,GREEN,74,1,31,17.0,-2.499999999187602,5.7005187427998476e-05,0.008666178000112,1,8.123968164852613e-10,0.0,7.464257706010911e-15,1.1102230246251561e-15,8.881784197001252e-16
E1,50,11,persistent_cc_dca,GREEN,74,1,29,17.0,-2.499999999187602,5.7005187427998476e-05,0.006607400000120001,1,8.123968164852613e-10,0.0,7.464257706010911e-15,1.1102230246251561e-15,8.881784197001252e-16
E1,50,12,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.954605543860127e-11,0.001021406000063,0,1.000000000000001,0.0,5.75361479980402e-15,0.0,8.881784197001252e-16
E1,50,12,post_dca,GREEN_POST,67,1,52,39.0,-2.500000000000001,9.013222633315036e-11,0.013332676999880002,1,4.440892098500626e-16,0.0,5.75361479980402e-15,0.0,8.881784197001252e-16
E1,50,12,cold_cc_dca,GREEN,52,1,33,17.0,-2.499999999295587,5.3081561499053405e-05,0.005902529999957,1,7.044138605749595e-10,0.0,5.75361479980402e-15,0.0,8.881784197001252e-16
E1,50,12,persistent_cc_dca,GREEN,52,1,29,17.0,-2.499999999295587,5.3081561499053405e-05,0.005640364999862001,1,7.044138605749595e-10,0.0,5.75361479980402e-15,0.0,8.881784197001252e-16
E1,50,13,plain_dca,FIRST_ORDER,39,0,0,,-1.4999999999999991,6.964788328188376e-11,0.0010455729998280002,0,0.9999999999999981,0.0,6.5706627083446855e-15,2.220446049250311e-15,-3.552713678800501e-15
E1,50,13,post_dca,GREEN_POST,67,1,52,39.0,-2.499999999999999,9.013140052426649e-11,0.013697366999849001,1,-1.77635683940025e-15,0.0,6.5706627083446855e-15,2.220446049250311e-15,-3.552713678800501e-15
E1,50,13,cold_cc_dca,GREEN,65,1,32,17.0,-2.499999999132313,5.891300218801672e-05,0.0066174559999580005,1,8.676841467547547e-10,0.0,6.5706627083446855e-15,2.220446049250311e-15,-3.552713678800501e-15
E1,50,13,persistent_cc_dca,GREEN,65,1,29,17.0,-2.499999999132313,5.891300218801672e-05,0.0061849450000860005,1,8.676841467547547e-10,0.0,6.5706627083446855e-15,2.220446049250311e-15,-3.552713678800501e-15
E1,50,14,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.955280432231942e-11,0.001019624000036,0,0.9999999999999981,0.0,4.236119783640187e-15,2.2204460492503123e-15,-2.664535259100375e-15
E1,50,14,post_dca,GREEN_POST,67,1,52,39.0,-2.5,9.01330080548803e-11,0.013583144999984,1,-1.77635683940025e-15,0.0,4.236119783640187e-15,2.2204460492503123e-15,-2.664535259100375e-15
E1,50,14,cold_cc_dca,GREEN,60,1,32,17.0,-2.499999998991405,6.351680101338735e-05,0.006020656999908,1,1.008593208950969e-09,0.0,4.236119783640187e-15,2.2204460492503123e-15,-2.664535259100375e-15
E1,50,14,persistent_cc_dca,GREEN,60,1,29,17.0,-2.499999998991405,6.351680101338735e-05,0.006109261000119001,1,1.008593208950969e-09,0.0,4.236119783640187e-15,2.2204460492503123e-15,-2.664535259100375e-15
