experiment,n,seed,eta,S,threshold,theorem_hypothesis,case,alignment,decrease,predicted_delta,R_dec
E2,200,10,1e-05,1.999999999843094e-05,0.0018518518514810001,True,III-hard,9.999999999860727e-06,0.000625304342429,1.1574074070601962e-05,54.026295202103725
E2,200,10,0.0001,0.00019999999899900003,0.0018518518148140002,True,III-hard,9.999999999984857e-05,0.000629800791035,1.1574073726851961e-05,54.41478997786969
E2,200,10,0.0005,0.000999999874999,0.001851850925926,True,III-hard,0.000499999999999,0.000649784260663,1.157406539352079e-05,56.14140222739863
E2,200,10,0.0009000000000000001,0.0017999992709990002,0.0018518488518530002,True,III-hard,0.0008999999999990001,0.000669766483275,1.1574045949096961e-05,57.86796477408555
E2,200,11,0.0,4.751520873539458e-15,0.0018518518518510002,True,III-hard,7.042392735007567e-17,0.000624804733267,1.1574074074074062e-05,53.98312895427683
E2,200,11,1e-06,1.999999999491851e-06,0.0018518518518480002,True,III-hard,9.999999999149833e-07,0.000624854694216,1.157407407403934e-05,53.9874455805034
E2,200,11,1e-05,1.9999999998494502e-05,0.0018518518514810001,True,III-hard,9.99999999991051e-06,0.0006253043424250001,1.1574074070601842e-05,54.02629520177813
E2,200,11,0.0001,0.00019999999899900003,0.0018518518148140002,True,III-hard,9.999999999990027e-05,0.0006298007910300001,1.1574073726851831e-05,54.4147899775058
E2,200,11,0.0005,0.000999999874999,0.001851850925926,True,III-hard,0.000499999999999,0.00064978426066,1.1574065393520671e-05,56.14140222709229
E2,200,11,0.0009000000000000001,0.0017999992709990002,0.0018518488518530002,True,III-hard,0.0008999999999990001,0.000669766483272,1.1574045949096842e-05,57.86796477381759
E2,200,12,0.0,3.577194880980323e-15,0.0018518518518510002,True,III-hard,3.725032686482894e-17,0.000624804733267,1.1574074074074023e-05,53.98312895427701
E2,200,12,1e-06,2.000000000231885e-06,0.0018518518518480002,True,III-hard,1.0000000000239858e-06,0.0006248546942170001,1.157407407403928e-05,53.98744558056122
E2,200,12,1e-05,1.9999999999326302e-05,0.0018518518514810001,True,III-hard,1.00000000000344e-05,0.000625304342426,1.1574074070601803e-05,54.02629520185505
E2,200,12,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,0.0001,0.0006298007910310001,1.1574073726851802e-05,54.41478997756348
E2,200,12,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.0005,0.00064978426066,1.1574065393520642e-05,56.141402227149996
E2,200,12,0.0009000000000000001,0.001799999271,0.0018518488518530002,True,III-hard,0.0009000000000000001,0.000669766483274,1.1574045949096781e-05,57.86796477393298
E2,200,13,0.0,5.581713492760518e-15,0.0018518518518510002,True,III-hard,5.681785235836134e-16,0.000624804733267,1.157407407407397e-05,53.98312895429644
E2,200,13,1e-06,2.0000000002206143e-06,0.0018518518518480002,True,III-hard,9.999999994228999e-07,0.000624854694216,1.1574074074039272e-05,53.98744558042699
E2,200,13,1e-05,1.9999999999196774e-05,0.0018518518514810001,True,III-hard,9.999999999437403e-06,0.000625304342426,1.157407407060177e-05,54.02629520181684
E2,200,13,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,9.999999999943482e-05,0.0006298007910310001,1.1574073726851751e-05,54.41478997752535
E2,200,13,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.000499999999999,0.0006497842606590001,1.1574065393520561e-05,56.141402227054456
E2,200,13,0.0009000000000000001,0.001799999271,0.0018518488518530002,True,III-hard,0.0008999999999990001,0.0006697664832730001,1.1574045949096742e-05,57.86796477385644
E2,200,14,0.0,3.2968848095041413e-15,0.0018518518518510002,True,III-hard,1.803196894794883e-16,0.000624804733267,1.1574074074074131e-05,53.983128954353255
E2,200,14,1e-06,1.999999999977532e-06,0.0018518518518480002,True,III-hard,1.0000000001745838e-06,0.000624854694218,1.1574074074039432e-05,53.98744558061808
E2,200,14,1e-05,1.9999999998948244e-05,0.0018518518514810001,True,III-hard,1.0000000000178432e-05,0.0006253043424270001,1.1574074070601902e-05,54.026295201912134
E2,200,14,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,0.0001,0.000629800791032,1.157407372685194e-05,54.41478997763955
E2,200,14,0.0005,0.000999999874999,0.001851850925926,True,III-hard,0.0005,0.00064978426066,1.157406539352074e-05,56.14140222714948
E2,200,14,0.0009000000000000001,0.0017999992709990002,0.0018518488518530002,True,III-hard,0.0009000000000000001,0.000669766483275,1.157404594909693e-05,57.867964774008954
E2,200,15,0.0,4.637369577950787e-15,0.0018518518518510002,True,III-hard,3.015633880828914e-17,0.00062480473327,1.1574074074074102e-05,53.98312895460278
E2,200,15,1e-06,2.000000000324212e-06,0.0018518518518480002,True,III-hard,1.000000000051781e-06,0.000624854694221,1.1574074074039401e-05,53.98744558086763
E2,200,15,1e-05,1.999999999932684e-05,0.0018518518514810001,True,III-hard,1.0000000000027861e-05,0.000625304342429,1.157407407060187e-05,54.02629520212332
E2,200,15,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,0.0001,0.0006298007910330001,1.1574073726851882e-05,54.41478997777412
E2,200,15,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.0005,0.000649784260663,1.157406539352071e-05,56.14140222736065
E2,200,15,0.0009000000000000001,0.001799999271,0.0018518488518530002,True,III-hard,0.0009000000000000001,0.000669766483275,1.1574045949096881e-05,57.867964774066806
E2,200,16,0.0,3.1191936345098423e-15,0.0018518518518510002,True,III-hard,3.653418271655953e-16,0.000624804733267,1.1574074074074082e-05,53.98312895427672
E2,200,16,1e-06,2.000000000496505e-06,0.0018518518518480002,True,III-hard,1.000000000369767e-06,0.000624854694216,1.1574074074039372e-05,53.98744558050324
E2,200,16,1e-05,1.9999999999585803e-05,0.0018518518514810001,True,III-hard,1.0000000000363061e-05,0.000625304342426,1.1574074070601862e-05,54.02629520183559
E2,200,16,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,0.0001,0.000629800791032,1.1574073726851882e-05,54.414789977620664
E2,200,16,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.0005,0.00064978426066,1.1574065393520702e-05,56.14140222711132
E2,200,16,0.0009000000000000001,0.001799999271,0.0018518488518530002,True,III-hard,0.0009000000000000001,0.000669766483274,1.1574045949096871e-05,57.867964773932556
E2,200,17,0.0,4.849002958364624e-15,0.0018518518518510002,True,III-hard,1.194356537468727e-16,0.0006248047332660001,1.1574074074074023e-05,53.98312895425782
E2,200,17,1e-06,2.0000000000665267e-06,0.0018518518518480002,True,III-hard,9.999999998711336e-07,0.000624854694216,1.1574074074039301e-05,53.987445580503575
E2,200,17,1e-05,1.9999999999023522e-05,0.0018518518514810001,True,III-hard,9.999999999877003e-06,0.0006253043424250001,1.1574074070601811e-05,54.026295201778254
E2,200,17,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,9.999999999986616e-05,0.0006298007910300001,1.157407372685182e-05,54.41478997748662
E2,200,17,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.000499999999999,0.00064978426066,1.157406539352065e-05,56.141402227073186
