experiment,n,seed,mode,final_delta,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E4,400,0,progressive,0.0625,persistent_cc_dca,GREEN,88,1,128,15,-2.4999999999997913,9.123064214498786e-07,0.251911881000069,5,2.082778394196793e-13,2.220446049250313e-16,6.1317120732482295e-15,1.1102230246251561e-15,-8.881784197001252e-16
E4,400,0,cold_final,0.0625,persistent_cc_dca,GREEN,94,1,92,25,-2.4999999999998233,8.417122197123303e-07,0.11394848800000501,1,1.771915947301749e-13,2.220446049250313e-16,6.1317120732482295e-15,1.1102230246251561e-15,-8.881784197001252e-16
E4,400,1,progressive,0.0625,persistent_cc_dca,GREEN,85,1,128,15,-2.499999999999749,1.003298834413851e-06,0.250182800999937,5,2.535749388243857e-13,6.661338147750939e-16,5.9323254444665824e-15,3.3306690738754704e-15,8.881784197001252e-16
E4,400,1,cold_final,0.0625,persistent_cc_dca,GREEN,98,1,92,25,-2.4999999999998073,8.805220802188589e-07,0.116350320000037,1,1.9584334154387761e-13,6.661338147750939e-16,5.9323254444665824e-15,3.3306690738754704e-15,8.881784197001252e-16
E4,400,2,progressive,0.0625,persistent_cc_dca,GREEN,73,1,128,15,-2.499999999999796,9.039937810507083e-07,0.261139468000237,5,1.9984014443252813e-13,0.0,3.654999945825955e-15,3.8857805861880495e-15,8.881784197001252e-16
E4,400,2,cold_final,0.0625,persistent_cc_dca,GREEN,85,1,92,25,-2.499999999999753,9.951119753539862e-07,0.11909711999987802,1,2.433608869978343e-13,0.0,3.654999945825955e-15,3.8857805861880495e-15,8.881784197001252e-16
E4,400,3,progressive,0.0625,persistent_cc_dca,GREEN,76,1,128,15,-2.499999999999816,8.570813400089404e-07,0.224935913000081,5,1.8562928971732612e-13,2.220446049250313e-16,4.66876711875439e-15,1.1102230246251561e-15,8.881784197001252e-16
E4,400,3,cold_final,0.0625,persistent_cc_dca,GREEN,86,1,92,25,-2.499999999999798,9.006591682630732e-07,0.114212706000216,1,2.033928581113286e-13,2.220446049250313e-16,4.66876711875439e-15,1.1102230246251561e-15,8.881784197001252e-16
E4,400,4,progressive,0.0625,persistent_cc_dca,GREEN,83,1,128,15,-2.499999999999768,9.638095374666355e-07,0.23534899300011602,5,2.2737367544323203e-13,0.0,6.3754030656200104e-15,4.996003610813207e-15,1.77635683940025e-15
E4,400,4,cold_final,0.0625,persistent_cc_dca,GREEN,87,1,92,25,-2.499999999999748,1.004094352232011e-06,0.113428104999911,1,2.469136006766348e-13,0.0,6.3754030656200104e-15,4.996003610813207e-15,1.77635683940025e-15
E4,400,5,progressive,0.0625,persistent_cc_dca,GREEN,76,1,128,15,-2.499999999999813,8.649959601349625e-07,0.23378116699996102,5,1.878497357665764e-13,2.220446049250313e-16,4.8933287432948965e-15,1.1102230246251571e-15,2.664535259100375e-15
E4,400,5,cold_final,0.0625,persistent_cc_dca,GREEN,85,1,92,25,-2.499999999999806,8.816207330557723e-07,0.11076459700007,1,1.945110739143274e-13,2.220446049250313e-16,4.8933287432948965e-15,1.1102230246251571e-15,2.664535259100375e-15
E4,400,6,progressive,0.0625,persistent_cc_dca,GREEN,81,1,128,15,-2.499999999999794,9.104301348306616e-07,0.233409616000244,5,2.091660178393795e-13,4.440892098500626e-16,5.120176321572221e-15,2.2204460492503143e-15,3.552713678800501e-15
E4,400,6,cold_final,0.0625,persistent_cc_dca,GREEN,93,1,92,25,-2.499999999999748,1.006832444137121e-06,0.144264074000147,1,2.544631172440859e-13,4.440892098500626e-16,5.120176321572221e-15,2.2204460492503143e-15,3.552713678800501e-15
E4,400,7,progressive,0.0625,persistent_cc_dca,GREEN,93,1,128,15,-2.4999999999997833,9.293174214133436e-07,0.23300351999978303,5,2.1804780203638072e-13,2.220446049250313e-16,4.145502458240917e-15,1.1102230246251561e-15,-1.77635683940025e-15
E4,400,7,cold_final,0.0625,persistent_cc_dca,GREEN,90,1,92,25,-2.499999999999802,8.90478783035523e-07,0.13960922500018502,1,1.98951966012828e-13,2.220446049250313e-16,4.145502458240917e-15,1.1102230246251561e-15,-1.77635683940025e-15
E4,400,8,progressive,0.0625,persistent_cc_dca,GREEN,76,1,128,15,-2.499999999999773,9.529377084996492e-07,0.275486943000032,5,2.260414078136818e-13,0.0,5.5221585479477405e-15,1.1102230246251561e-15,-1.77635683940025e-15
E4,400,8,cold_final,0.0625,persistent_cc_dca,GREEN,85,1,92,25,-2.499999999999776,9.458941664438413e-07,0.118922783000016,1,2.229327833447314e-13,0.0,5.5221585479477405e-15,1.1102230246251561e-15,-1.77635683940025e-15
E4,400,9,progressive,0.0625,persistent_cc_dca,GREEN,83,1,128,15,-2.499999999999829,8.297622096729613e-07,0.23736888799976402,5,1.691979889528738e-13,0.0,3.5046028898862585e-15,2.220446049250313e-15,8.881784197001252e-16
E4,400,9,cold_final,0.0625,persistent_cc_dca,GREEN,95,1,92,25,-2.49999999999982,8.501208816440566e-07,0.115370200000143,1,1.77635683940025e-13,0.0,3.5046028898862585e-15,2.220446049250313e-15,8.881784197001252e-16
E4,400,10,progressive,0.0625,persistent_cc_dca,GREEN,85,1,128,15,-2.49999999999984,7.980241117999028e-07,0.253861023999888,5,1.629807400149729e-13,4.440892098500626e-16,3.7054914676939615e-15,2.220446049250313e-15,0.0
E4,400,10,cold_final,0.0625,persistent_cc_dca,GREEN,96,1,92,25,-2.499999999999754,9.939381465872943e-07,0.11530249899988101,1,2.495781359357352e-13,4.440892098500626e-16,3.7054914676939615e-15,2.220446049250313e-15,0.0
E4,400,11,progressive,0.0625,persistent_cc_dca,GREEN,80,1,128,15,-2.499999999999814,8.606101009013932e-07,0.259874766999928,5,1.834088436680758e-13,0.0,3.9498354579102904e-15,1.6653345369377332e-15,-3.552713678800501e-15
E4,400,11,cold_final,0.0625,persistent_cc_dca,GREEN,90,1,92,25,-2.49999999999976,9.77098746579525e-07,0.117350337000061,1,2.3669954885008327e-13,0.0,3.9498354579102904e-15,1.6653345369377332e-15,-3.552713678800501e-15
E4,400,12,progressive,0.0625,persistent_cc_dca,GREEN,94,1,128,15,-2.499999999999796,9.034077391956115e-07,0.24755014499987701,5,2.033928581113286e-13,0.0,3.700672733372051e-15,0.0,-8.881784197001252e-16
E4,400,12,cold_final,0.0625,persistent_cc_dca,GREEN,94,1,92,25,-2.499999999999828,8.289135028959135e-07,0.119849776999672,1,1.718625242119742e-13,0.0,3.700672733372051e-15,0.0,-8.881784197001252e-16
