experiment,axis,value,n,seed,negfrac,bscale,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E5,extra_negative,0.0,200,2,,,persistent_cc_dca,GREEN,83,1,123,15.0,-2.499999999999819,8.529810438311177e-07,0.20694574800018,5,,,,,
E5,extra_negative,2.0,200,2,,,persistent_cc_dca,GREEN,80,1,123,15.0,-2.499999999999748,1.004665738712187e-06,0.16255099199997802,5,,,,,
E5,extra_negative,5.0,200,2,,,persistent_cc_dca,GREEN,79,1,123,15.0,-2.499999999999836,8.112128543967133e-07,0.17283532800001902,5,,,,,
E5,extra_negative,10.0,200,2,,,persistent_cc_dca,GREEN,76,1,123,14.0,-2.499999999999842,7.976162922705656e-07,0.18711181600019702,5,,,,,
E5,extra_negative,20.0,200,2,,,persistent_cc_dca,GREEN,80,1,123,13.0,-2.499999999999752,9.962376042075086e-07,0.19561577900003602,5,,,,,
E5,dimension,100.0,100,2,,,persistent_cc_dca,GREEN,79,1,100,15.0,-2.499999999999752,9.941736404616908e-07,0.10069512900008701,5,,,,,
E5,dimension,200.0,200,2,,,persistent_cc_dca,GREEN,83,1,123,15.0,-2.499999999999819,8.529810438311177e-07,0.176257564000025,5,,,,,
E5,dimension,400.0,400,2,,,persistent_cc_dca,GREEN,87,1,128,15.0,-2.499999999999747,1.005166540504749e-06,0.30756432199996203,5,,,,,
E5,dimension,800.0,800,2,,,persistent_cc_dca,GREEN,82,1,132,15.0,-2.49999999999975,9.985817237840327e-07,0.480365426999924,5,,,,,
E5,generic,0.0,100,2,0.1,0.1,persistent_cc_dca,GREEN,219,0,100,,-2.49059647632079,9.660705073267616e-07,0.09204678899959601,5,0.021166561531283,1.887379141862766e-14,5.281662064972813e-15,9.456886449001237e-14,0.010591798565537
E5,generic,0.0,100,2,0.1,0.5,persistent_cc_dca,GREEN,377,1,100,242.0,-2.581912637406772,9.25618211505861e-07,0.098731620999842,5,1.862554555032147e-11,3.539391002504999e-12,4.731884250647414e-15,1.788610464593958e-11,0.053441293510867
E5,generic,0.0,100,2,0.25,0.1,persistent_cc_dca,GREEN,562,0,100,,-2.491424066827952,9.85527812389204e-07,0.10363925100000401,5,0.021127357438172,1.554312234475219e-14,6.6865760222748885e-15,7.788052884084464e-14,0.010610295243501001
E5,generic,0.0,100,2,0.25,0.5,persistent_cc_dca,GREEN,1197,1,100,831.0,-2.599915186598217,9.603619784003072e-07,0.12133085599998501,5,1.828759366162558e-12,0.0,7.301011752507666e-15,1.459293610311165e-14,0.055441661247317
E5,generic,0.0,200,2,0.1,0.1,persistent_cc_dca,GREEN,382,0,123,,-2.489651563072724,1.0011398379907658e-06,0.20249326600014603,5,0.022240360215959,0.0,8.082360947578153e-15,3.838794959784286e-14,0.011129145053985
E5,generic,0.0,200,2,0.1,0.5,persistent_cc_dca,GREEN,386,0,123,,-2.5744078625529463,9.561564939900419e-07,0.184463092999976,5,1.501465618503061e-12,0.0,8.484293164619931e-15,3.929358669961261e-15,0.056073783383589
E5,generic,0.0,200,2,0.25,0.1,persistent_cc_dca,GREEN,1101,0,123,,-2.512270615510536,1.0030549065493558e-06,0.25051002300006003,5,4.651390383969556e-12,0.0,6.227950019970618e-15,1.502142321346261e-14,0.011146369387018
E5,generic,0.0,200,2,0.25,0.5,persistent_cc_dca,GREEN,710,0,123,,-2.582589410084873,9.59168850672687e-07,0.20147798900006803,5,3.088640454507185e-12,7.549516567451064e-15,6.362961409134036e-15,3.818013828301235e-14,0.057295780715541006
E5,generic,0.0,400,2,0.1,0.1,persistent_cc_dca,GREEN,892,0,128,,-2.498424011253871,9.971698204220549e-07,0.35128764999990303,5,0.005404775885817,1.105782132526655e-13,5.7098507615369276e-15,5.531909797650373e-13,0.002712229587431
E5,generic,0.0,400,2,0.1,0.5,persistent_cc_dca,GREEN,1111,0,128,,-2.515333297065421,9.659506847328938e-07,0.38850533899994805,5,0.02577766972487,0.0,6.0790742411209836e-15,3.562726708830706e-14,0.014092086972775001
E5,generic,0.0,400,2,0.25,0.1,persistent_cc_dca,GREEN,2186,0,128,,-2.49925852156968,1.0059208573509259e-06,0.542390549999709,5,0.005352500756965001,0.0,7.543744336722696e-15,3.8823526652769564e-13,0.002735913208054
